drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Prednisolone Sodium Phosphate,10mg,Pack of Tablets Disintegrating,12.0,,,,,116.8,Orapred,22100040207215-12-Generic,167.0,12,12 Tablets,confirmed,prednisolone-sodium-phosphate-10mg-pack-of-tablets-disintegrating-12-orapred-odt,False,False
Prednisolone Sodium Phosphate,15mg/5ml,mL,237.0,,,,,7.73,Orapred,22100040202020-Generic,1.63,237,,confirmed,prednisolone-sodium-phosphate-10mg-pack-of-tablets-disintegrating-12-orapred-odt,False,False
Prednisolone Sodium Phosphate,1%,Solution Dropper,10.0,,,,,42.64,Inflamase Forte,86300050202015-10-Generic,69.0,10,10mL,confirmed,prednisolone-sodium-phosphate-1-solution-dropper-10-inflamase-forte,False,False
Prednisolone Sodium Phosphate,10mg/5ml,mL,237.0,,,,,42.64,Veripred 20,22100040202050-Generic,5.13,237,,confirmed,prednisolone-sodium-phosphate-10mg_5ml-ml,False,False
Prednisolone Sodium Phosphate,20mg/5ml,mL,237.0,,,,,60.44,Veripred 20,22100040202060-Generic,6.87,237,,confirmed,prednisolone-sodium-phosphate-10mg_5ml-ml,False,False
Prednisone,10mg,Tablet,100.0,,,,,5.72,Deltasone,22100045000320-Generic,0.79,100,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,1mg,Tablet,100.0,,,,,6.07,Deltasone,22100045000305-Generic,0.82,100,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,2.5mg,Tablet,100.0,,,,,5.69,Deltasone,22100045000310-Generic,0.63,100,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,20mg,Tablet,100.0,,,,,6.45,Deltasone,22100045000325-Generic,0.99,100,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,50mg,Tablet,100.0,,,,,8.24,Deltasone,22100045000335-Generic,1.84,100,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,5mg,Tablet,1000.0,,,,,5.69,Deltasone,22100045000315-Generic,0.59,1000,,confirmed,prednisone-10mg-tablet,False,False
Prednisone,10mg,Tablet Therapy Pack,21.0,,,,,10.53,Deltasone,2210004500B720-21-Generic,13.0,21,21 Tablets,confirmed,prednisone-10mg-tablet,False,False
Prednisone,5mg,Tablet Therapy Pack,21.0,,,,,13.86,Deltasone,2210004500B705-21-Generic,10.0,21,21 Tablets,confirmed,prednisone-10mg-tablet,False,False
Prednisone,10mg,Tablet Therapy Pack,48.0,,,,,17.08,Deltasone,2210004500B725-48-Generic,24.0,48,48 Tablets,confirmed,prednisone-10mg-tablet,False,False
Prednisone,5mg/5mL,Bottle of Solution,120.0,,,,,46.49,Deltasone,22100045002005-120-Generic,95.0,120,120mL,confirmed,prednisone-10mg-tablet,False,False
Prednisone,5mg,Tablet Therapy Pack,48.0,,,,,15.02,Deltasone,2210004500B710-48-Generic,17.0,48,48 Tablets,confirmed,prednisone-10mg-tablet,False,False
Premarin (Conjugated Estrogens),0.3mg,Tablet,100.0,,,,,192.85,,24000015000310-Premarin,8.31,100,,confirmed,premarin-0_3mg-tablet,False,False
Premarin (Conjugated Estrogens),0.45mg,Tablet,100.0,,,,,183.12,,24000015000315-Premarin,8.3,100,,confirmed,premarin-0_3mg-tablet,False,False
Premarin (Conjugated Estrogens),0.625mg,Tablet,100.0,,,,,183.12,,24000015000320-Premarin,8.23,100,,confirmed,premarin-0_3mg-tablet,False,False
Premarin (Conjugated Estrogens),0.9mg,Tablet,100.0,,,,,183.12,,24000015000325-Premarin,8.31,100,,confirmed,premarin-0_3mg-tablet,False,False
Premarin (Conjugated Estrogens),1.25mg,Tablet,100.0,,,,,183.12,,24000015000330-Premarin,8.28,100,,confirmed,premarin-0_3mg-tablet,False,False
